rest_name,status,no_of_reviews,type,info
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
91. Musume izakaya,Open Now,188 reviews,Japanese,188 reviews Open Now Japanese ££ - £££
92. Pizzeria Los Argentinos,Open Now,59 reviews,"Pizza, Argentinian","59 reviews Open Now Pizza, Argentinian ££ - £££"
93. 11 Aldeanos,Open Now,229 reviews,Spanish,229 reviews Open Now Spanish ££ - £££
94. Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
95. La Barraca,Open Now,326 reviews,"Mediterranean, European","326 reviews Mediterranean, European ££ - £££"
96. Zuga,Open Now,277 reviews,"Bar, Spanish","277 reviews Open Now Bar, Spanish ££ - £££"
97. Restaurante Lurrina,Open Now,254 reviews,"Bar, Spanish","254 reviews Open Now Bar, Spanish ££ - £££"
98. Restaurante Yandiola,Open Now,557 reviews,"Mediterranean, European","557 reviews Open Now Mediterranean, European ££££"
99. ENEKO Bilbao,Open Now,112 reviews,European,112 reviews Open Now European ££££
100. Victor Montes Restaurante,Open Now,"1,504 reviews","Mediterranean, European","1,504 reviews Open Now Mediterranean, European ££ - £££"
101. La Baka Baska,Open Now,290 reviews,Arabic,290 reviews Open Now Arabic ££ - £££
102. Hotel Gran Bilbao Restaurante,Open Now,166 reviews,"International, European","166 reviews International, European ££ - £££"
103. Bizarre Bilbao,Open Now,38 reviews,"Brew Pub, Bar","38 reviews Brew Pub, Bar ££ - £££"
104. Las Cepas,Open Now,557 reviews,"Mediterranean, European","557 reviews Open Now Mediterranean, European ££ - £££"
105. Cafe Iruna,Open Now,"2,524 reviews","Cafe, Mediterranean","2,524 reviews Open Now Cafe, Mediterranean ££ - £££"
106. Basquery,Open Now,317 reviews,"European, Spanish","317 reviews Open Now European, Spanish ££ - £££"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
107. Casilda,Open Now,380 reviews,"Mediterranean, Spanish","380 reviews Open Now Mediterranean, Spanish ££ - £££"
108. Restaurante Saibigain,Open Now,180 reviews,"Diner, Spanish","180 reviews Open Now Diner, Spanish ££ - £££"
109. Singular,Open Now,106 reviews,"Bar, Pub","106 reviews Open Now Bar, Pub ££ - £££"
110. De Santa Rosalia,Open Now,299 reviews,"Mediterranean, European","299 reviews Open Now Mediterranean, European ££ - £££"
111. Axpe Goikoa Erretegia,Open Now,84 reviews,Spanish,84 reviews Open Now Spanish ££ - £££
112. Restaurante Blanco y Negro,Open Now,62 reviews,"Spanish, Diner","62 reviews Spanish, Diner ££ - £££"
113. Restaurante Kasko,Open Now,639 reviews,££ - £££,639 reviews Open Now ££ - £££
114. El Figon,Open Now,199 reviews,"Bar, Mediterranean","199 reviews Open Now Bar, Mediterranean ££ - £££"
115. Punjab Indian Restaurant,Open Now,171 reviews,"Indian, Asian","171 reviews Indian, Asian ££ - £££"
61. SUA SAN,Open Now,661 reviews,"Mediterranean, European","661 reviews Open Now Mediterranean, European ££ - £££"
62. El Perro Chico,Open Now,411 reviews,"Mediterranean, European","411 reviews Open Now Mediterranean, European ££ - £££ Menu"
63. Nerua Guggenheim Bilbao,Closes in 17 min,542 reviews,Spanish,542 reviews Closes in 17 min Spanish ££££
64. Restaurante Zurima,Open Now,485 reviews,"Mediterranean, European","485 reviews Open Now Mediterranean, European ££ - £££"
65. Baka Vieja,Open Now,78 reviews,"American, Fast food","78 reviews Open Now American, Fast food ££ - £££"
66. Zaharra,Open Now,344 reviews,"Bar, Mediterranean","344 reviews Open Now Bar, Mediterranean ££ - £££"
67. Sumo,Open Now,205 reviews,"Japanese, Fast food","205 reviews Open Now Japanese, Fast food ££ - £££"
68. Bar Bacaicoa,Open Now,148 reviews,"Spanish, Bar","148 reviews Open Now Spanish, Bar £"
69. Irrintzi,Open Now,654 reviews,"Bar, Spanish","654 reviews Open Now Bar, Spanish £"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
70. La Vina,Open Now,162 reviews,"Mediterranean, European","162 reviews Open Now Mediterranean, European ££ - £££"
71. Casa Rufo,Open Now,602 reviews,"Steakhouse, Spanish","602 reviews Open Now Steakhouse, Spanish ££ - £££"
72. Markina,Open Now,469 reviews,"Mediterranean, European","469 reviews Open Now Mediterranean, European ££ - £££"
73. Dando La Brasa,Open Now,467 reviews,"Peruvian, Latin","467 reviews Open Now Peruvian, Latin ££ - £££"
74. Atelier Etxanobe,Closes in 17 min,66 reviews,"Mediterranean, European","66 reviews Closes in 17 min Mediterranean, European ££££ Menu"
75. La Batea Mejillonerias,Open Now,206 reviews,"Spanish, Seafood","206 reviews Spanish, Seafood ££ - £££"
76. Batzoki de Abando,Open Now,234 reviews,"Mediterranean, European","234 reviews Open Now Mediterranean, European ££ - £££"
77. Culmen Bilbao,Open Now,88 reviews,"Spanish, Deli","88 reviews Spanish, Deli ££ - £££"
78. La barraca,Open Now,204 reviews,"Mediterranean, Spanish","204 reviews Mediterranean, Spanish ££ - £££"
79. La Brasa Canalla,Open Now,666 reviews,"American, Fast food","666 reviews Open Now American, Fast food £"
80. Maikala,Open Now,76 reviews,Cafe,76 reviews Open Now Cafe ££ - £££
31. Coppola Bilbao (Non stop kitchen),Open Now,"1,273 reviews","Italian, Pizza","1,273 reviews Open Now Italian, Pizza ££ - £££"
32. El Sacacorchos,Open Now,133 reviews,"Spanish, Deli","133 reviews Open Now Spanish, Deli ££ - £££"
33. La Casita de Sabino,Closed Now,573 reviews,"Seafood, Mediterranean","573 reviews Seafood, Mediterranean ££ - £££"
34. Demaio Pizza Gourmet,Open Now,136 reviews,"Pizza, Italian","136 reviews Closed Now Pizza, Italian ££ - £££"
35. Cafeteria Swansea,Open Now,86 reviews,£,86 reviews Open Now £
36. Santa Maria,Open Now,156 reviews,Spanish,156 reviews Open Now Spanish ££ - £££
37. La Camelia Vegan Bar,Open Now,341 reviews,"Japanese, Asian","341 reviews Open Now Japanese, Asian ££ - £££"
38. El Globo,Open Now,"1,934 reviews","Bar, Mediterranean","1,934 reviews Open Now Bar, Mediterranean ££ - £££"
81. Rimbombin,Open Now,466 reviews,"Seafood, Mediterranean","466 reviews Open Now Seafood, Mediterranean ££ - £££"
82. Gure Kabi,Open Now,299 reviews,"Mediterranean, European","299 reviews Open Now Mediterranean, European ££ - £££"
83. Kapikua,Open Now,242 reviews,"Bar, European","242 reviews Open Now Bar, European ££ - £££"
84. Indusi Asador,Open Now,366 reviews,"Steakhouse, Mediterranean","366 reviews Open Now Steakhouse, Mediterranean ££ - £££"
85. Premierk Bilbao,Open Now,417 reviews,"Bar, Mediterranean","417 reviews Open Now Bar, Mediterranean ££ - £££ Menu"
86. Peso Neto,Open Now,243 reviews,"European, Spanish","243 reviews European, Spanish ££ - £££"
39. Porrue,Open Now,"1,162 reviews","Mediterranean, European","1,162 reviews Open Now Mediterranean, European ££££"
40. Bistro Guggenheim Bilbao,Open Now,"1,184 reviews","Mediterranean, European","1,184 reviews Open Now Mediterranean, European ££ - £££ Menu"
41. Restaurante Zarate,Open Now,381 reviews,"Mediterranean, European","381 reviews Open Now Mediterranean, European ££££"
42. Mina Restaurant,Open Now,802 reviews,"Mediterranean, European","802 reviews Open Now Mediterranean, European ££££"
43. Sorginzulo,Open Now,579 reviews,"Mediterranean, Spanish","579 reviews Mediterranean, Spanish ££ - £££"
44. Kimtxu,Open Now,560 reviews,"Japanese, Asian","560 reviews Open Now Japanese, Asian ££ - £££"
45. Baster Bilbao,Open Now,241 reviews,"Spanish, Cafe","241 reviews Open Now Spanish, Cafe £"
46. BASCOOK,Open Now,890 reviews,"Mediterranean, European","890 reviews Open Now Mediterranean, European ££££ Menu"
47. Basuki,Open Now,237 reviews,"Contemporary, Mediterranean","237 reviews Open Now Contemporary, Mediterranean ££ - £££ Menu"
48. Cafe Bar Bilbao,Open Now,914 reviews,"Cafe, Mediterranean","914 reviews Open Now Cafe, Mediterranean ££ - £££"
49. El Huevo Frito,Open Now,274 reviews,"Mediterranean, Spanish","274 reviews Open Now Mediterranean, Spanish ££ - £££"
50. Bilbao Berria,Open Now,558 reviews,"Mediterranean, European","558 reviews Mediterranean, European ££ - £££"
51. Bar Charly,Open Now,764 reviews,"Bar, Mediterranean","764 reviews Open Now Bar, Mediterranean £"
52. Zaka,Open Now,596 reviews,"Mediterranean, European","596 reviews Open Now Mediterranean, European ££ - £££ Menu"
53. La Olla plaza nueva,Open Now,946 reviews,"Bar, Mediterranean","946 reviews Open Now Bar, Mediterranean ££ - £££"
54. Florida,Open Now,312 reviews,"American, Fast food","312 reviews Open Now American, Fast food £"
55. Taberna Astuy,Open Now,209 reviews,£,209 reviews Open Now £ Menu
56. Restaurante Amaren Bilbao,Open Now,464 reviews,"Steakhouse, Grill","464 reviews Open Now Steakhouse, Grill ££ - £££ Menu"
57. La Trattoria Napoletana,Open Now,383 reviews,"Italian, Pizza","383 reviews Open Now Italian, Pizza ££ - £££"
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
1. Bar Roma,Open Now,140 reviews,"Cafe, Mediterranean","140 reviews Open Now Cafe, Mediterranean ££ - £££"
2. Casa Leotta,Open Now,643 reviews,"Italian, Pizza","643 reviews Open Now Italian, Pizza ££ - £££"
3. Bikandi Etxea,Open Now,194 reviews,"Cafe, European","194 reviews Open Now Cafe, European ££ - £££"
4. Nebak Jatetxea,Open Now,129 reviews,"Mediterranean, Spanish","129 reviews Open Now Mediterranean, Spanish ££££ Menu"
5. NIDOBILBAO,Open Now,"2,151 reviews","European, Spanish","2,151 reviews Open Now European, Spanish ££££"
6. ad hoc Cascanueces,Open Now,880 reviews,"International, Mediterranean","880 reviews Open Now International, Mediterranean ££ - £££ Menu"
7. La Gavilla,Open Now,285 reviews,"Mediterranean, European","285 reviews Open Now Mediterranean, European ££££"
8. Restaurante AL Margen,Open Now,207 reviews,"International, Mediterranean","207 reviews Open Now International, Mediterranean ££ - £££"
9. Mole Tex Mex,Closed Now,213 reviews,"Mexican, Healthy","213 reviews Closed Now Mexican, Healthy £"
10. Il Giardino Della Nonna Trattoria,Open Now,425 reviews,"Italian, Pizza","425 reviews Open Now Italian, Pizza ££ - £££ Menu"
11. Arandia de Julen,Open Now,666 reviews,"Mediterranean, European","666 reviews Open Now Mediterranean, European ££ - £££"
12. Restaurante Trueba,Open Now,198 reviews,"Spanish, Soups","198 reviews Open Now Spanish, Soups ££ - £££ Menu"
13. La Despensa del Etxanobe,Open Now,"1,815 reviews","Mediterranean, Spanish","1,815 reviews Open Now Mediterranean, Spanish ££££"
14. Zapirain,Open Now,348 reviews,"Seafood, Mediterranean","348 reviews Open Now Seafood, Mediterranean ££££"
15. Pitxintxu,Open Now,492 reviews,"Mediterranean, European","492 reviews Open Now Mediterranean, European ££ - £££"
16. El Puertito,Open Now,460 reviews,"Seafood, Spanish","460 reviews Open Now Seafood, Spanish ££ - £££"
17. La Vina del Ensanche,Open Now,"2,562 reviews","Contemporary, Mediterranean","2,562 reviews Open Now Contemporary, Mediterranean ££ - £££"
18. Restaurante Agape,Open Now,815 reviews,"Mediterranean, European","815 reviews Open Now Mediterranean, European ££ - £££"
19. Trozo Pizzeria,Closed Now,92 reviews,"Italian, Pizza","92 reviews Closed Now Italian, Pizza £"
20. KUMA,Open Now,747 reviews,"Japanese, Sushi","747 reviews Open Now Japanese, Sushi ££££"
21. Odoloste,Open Now,142 reviews,Spanish,142 reviews Spanish ££ - £££
22. Grecocina,Open Now,349 reviews,"Mediterranean, European","349 reviews Open Now Mediterranean, European ££ - £££"
23. Nura Bilbao,Open Now,256 reviews,"Mediterranean, Contemporary","256 reviews Open Now Mediterranean, Contemporary ££ - £££"
24. Enol,Open Now,210 reviews,"Mediterranean, Spanish","210 reviews Open Now Mediterranean, Spanish ££ - £££"
25. Restaurante Cafeteria Pentxo,Open Now,956 reviews,"Cafe, European","956 reviews Open Now Cafe, European £"
26. Mugarra Restaurant,Open Now,376 reviews,"Mediterranean, European","376 reviews Open Now Mediterranean, European ££££"
27. Txakoli Simon,Open Now,912 reviews,Steakhouse,912 reviews Open Now Steakhouse ££ - £££
28. Restaurante Kate Zaharra,Open Now,645 reviews,"European, Spanish","645 reviews Open Now European, Spanish ££££"
29. Restaurante Aizian,Open Now,510 reviews,"Mediterranean, European","510 reviews Open Now Mediterranean, European ££££ Menu"
Bar e Restaurante Baracho's,Open Now,4 reviews,"Spanish, Brazilian","4 reviews Open Now Spanish, Brazilian ££ - £££"
301. Cafeteria Restaurante Gorliz,Open Now,75 reviews,£,75 reviews £
302. Bar Restaurante Olga,Closed Now,20 reviews,££ - £££,20 reviews Open Now ££ - £££
303. Taberna Zabala,Open Now,55 reviews,Spanish,55 reviews Spanish ££ - £££
304. Berebar,Open Now,44 reviews,£,44 reviews £
305. Txokomex,Open Now,80 reviews,"Mexican, International","80 reviews Closed Now Mexican, International £"
306. Taberna Basaras,Open Now,29 reviews,£,29 reviews £
307. Restaurante Kelti,Open Now,49 reviews,££ - £££,49 reviews Open Now ££ - £££
308. Alameda,Open Now,47 reviews,££ - £££,47 reviews ££ - £££
309. La Tagliatella,Open Now,397 reviews,"Italian, Pizza","397 reviews Open Now Italian, Pizza ££ - £££ Menu"
310. El Deposito,Open Now,48 reviews,£,48 reviews £
311. Restaurante Astillero Euskalduna,Closed Now,202 reviews,"Seafood, Mediterranean","202 reviews Open Now Seafood, Mediterranean ££ - £££"
312. Joserra,Open Now,41 reviews,£,41 reviews Open Now £
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
313. Bar Negresco,Open Now,71 reviews,Spanish,71 reviews Spanish £
314. Txoko Piperrak,Open Now,121 reviews,Spanish,121 reviews Open Now Spanish ££ - £££
361. Restaurante Cafeteria Campo Volantin,Open Now,56 reviews,Spanish,56 reviews Open Now Spanish ££ - £££
362. Cerveceria Cruz Blanca Zubiarte,Open Now,116 reviews,"Mediterranean, Spanish","116 reviews Mediterranean, Spanish £"
363. Bar Ledesma,Open Now,136 reviews,"Bar, Mediterranean","136 reviews Open Now Bar, Mediterranean ££ - £££"
364. Monterrey,Closed Now,58 reviews,"Mediterranean, Spanish","58 reviews Mediterranean, Spanish ££ - £££"
365. Askao Berri,Open Now,54 reviews,Spanish,54 reviews Open Now Spanish £
366. Cafe Rock Grafit,Open Now,81 reviews,International,81 reviews Closed Now International £
367. El 13 De Henao,Open Now,11 reviews,"Mediterranean, Spanish","11 reviews Open Now Mediterranean, Spanish £ Menu"
368. Inakiren Taberna,Open Now,75 reviews,Healthy,75 reviews Open Now Healthy £
369. Plaza Campuzano,Open Now,30 reviews,"Bar, Cafe","30 reviews Bar, Cafe £"
370. Cafe Capuccino,Open Now,130 reviews,"Mediterranean, Middle Eastern","130 reviews Open Now Mediterranean, Middle Eastern £"
371. Restaurante Aralar,Open Now,53 reviews,Spanish,53 reviews Open Now Spanish ££ - £££
372. Mafe's Tavern,Closed Now,62 reviews,"Grill, Gastropub","62 reviews Open Now Grill, Gastropub ££ - £££"
373. Restaurante La Kedada,Open Now,36 reviews,"Bar, Mediterranean","36 reviews Open Now Bar, Mediterranean ££ - £££ Menu"
374. Erronda Zaharra,Open Now,17 reviews,"International, Mediterranean","17 reviews Open Now International, Mediterranean ££ - £££"
375. Batzoki de Begona,Open Now,14 reviews,Spanish,14 reviews Spanish ££ - £££
376. Meat & Soul,Closed Now,45 reviews,£,45 reviews Closed Now £
377. Viandas,Open Now,53 reviews,Spanish,53 reviews Open Now Spanish £
378. Public Lounge,Open Now,57 reviews,Pub,57 reviews Pub ££ - £££
379. Thate Street Food,Open Now,14 reviews,"American, Street Food","14 reviews Open Now American, Street Food £"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
421. Kiosko,Open Now,350 reviews,"Mediterranean, European","350 reviews Open Now Mediterranean, European ££ - £££"
422. Itxas Gane,Open Now,21 reviews,Spanish,21 reviews Spanish
423. Tapachula,Open Now,264 reviews,"Mexican, Latin","264 reviews Open Now Mexican, Latin ££ - £££"
424. Cafe & Bar Jaime,Open Now,10 reviews,££ - £££,10 reviews
425. Kirol,Closed Now,38 reviews,Spanish,38 reviews ££ - £££
426. Muga Taberna,Open Now,91 reviews,Mediterranean,91 reviews Open Now Spanish £
427. La cava de abando,Open Now,30 reviews,"European, Spanish",30 reviews Open Now Mediterranean ££ - £££
428. Casco Viejo,Open Now,98 reviews,Spanish,"98 reviews European, Spanish ££ - £££"
429. Sidreria Lezama,Open Now,32 reviews,££ - £££,32 reviews Spanish ££ - £££
430. Lamiak,Closed Now,27 reviews,£,27 reviews Closed Now ££ - £££
431. Restaurante Chino La Casita,Open Now,22 reviews,££ - £££,22 reviews £
432. Entre museos,Open Now,39 reviews,"Mediterranean, Spanish",39 reviews ££ - £££
433. D.O Bilbao,Open Now,83 reviews,Healthy,"83 reviews Mediterranean, Spanish ££ - £££"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
631. Cafe-Bar Iaela,Open Now,7 reviews,"Bar, Cafe","7 reviews Open Now Bar, Cafe £"
632. Best Pizza,Open Now,14 reviews,Pizza,14 reviews Pizza £
633. Mendata,Open Now,81 reviews,££ - £££,81 reviews Open Now ££ - £££
634. Empanadas & Co,Closed Now,22 reviews,"Argentinian, South American","22 reviews Open Now Argentinian, South American £"
635. Cerveceria Arbolantza,Open Now,6 reviews,Steakhouse,6 reviews Steakhouse
636. Egipto,Open Now,6 reviews,Spanish,6 reviews Spanish
637. Confiteria Pandi,Open Now,5 reviews,"Cafe, Spanish",5 reviews Closed Now
638. Bar Cafe Pacifico,Open Now,4 reviews,££ - £££,4 reviews
639. Cafeteria Jardines,Open Now,42 reviews,££ - £££,"42 reviews Cafe, Spanish ££ - £££"
640. Misschocole,Open Now,3 reviews,Spanish,3 reviews ££ - £££
641. Bar Curro,Open Now,7 reviews,"Steakhouse, Spanish",7 reviews Open Now
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
601. Restaurante Lasa,Open Now,206 reviews,"European, Spanish","206 reviews European, Spanish ££ - £££"
602. Bar Jaunak,Opens in 17 min,10 reviews,££ - £££,10 reviews
603. Genova,Open Now,11 reviews,Spanish,11 reviews Open Now ££ - £££
604. Avec Moi,Open Now,39 reviews,"Mediterranean, Spanish",39 reviews Spanish £
605. Gau Txori,Open Now,93 reviews,£,"93 reviews Mediterranean, Spanish £"
606. Bizkaia - Bi,Open Now,21 reviews,Spanish,21 reviews £
607. Club Nautico Restaurant,Open Now,16 reviews,££ - £££,16 reviews Opens in 17 min Spanish ££ - £££ Menu
608. Larragan,Open Now,12 reviews,Grill,12 reviews ££ - £££
609. Rallye,Open Now,83 reviews,"Fast food, Turkish",83 reviews Open Now Grill £
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
661. Sumo Sushi,Open Now,4 reviews,Spanish,4 reviews
662. cafe sortzen,Open Now,5 reviews,"Mexican, Spanish",5 reviews Spanish ££££
663. La Tortilla,Open Now,29 reviews,££ - £££,"29 reviews Mexican, Spanish ££ - £££"
664. Wok House,Open Now,9 reviews,Spanish,9 reviews Open Now
665. Zintzoa,Open Now,20 reviews,£,20 reviews ££ - £££
666. Arrigorri Restaurant,Open Now,4 reviews,Spanish,4 reviews Open Now
667. La Galea,Open Now,46 reviews,££ - £££,46 reviews Spanish ££ - £££
668. Baserri Benta,Closed Now,10 reviews,Spanish,10 reviews £
669. Bizkarra,Open Now,4 reviews,"Bar, Pub",4 reviews
670. Nikol's Gastro Bar,Open Now,17 reviews,"Bar, Mediterranean",17 reviews Open Now Spanish £
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
751. Arroceria&Asador Monterrey,Closed Now,2 reviews,"Steakhouse, Spanish","2 reviews Steakhouse, Spanish ££ - £££"
752. Las jotas,Open Now,4 reviews,"Italian, Japanese",4 reviews
753. Katu,Open Now,2 reviews,Spanish,2 reviews Closed Now
754. Pizza Leggera,Open Now,16 reviews,££ - £££,"16 reviews Italian, Japanese ££ - £££"
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
781. Gastrobar Abadia,Open Now,13 reviews,Spanish,13 reviews Spanish
782. Harizki,Open Now,27 reviews,Spanish,27 reviews Spanish £
783. Rincon Iberiko,Closed Now,5 reviews,Cafe,5 reviews Open Now
784. Meeting Point,Open Now,9 reviews,Spanish,9 reviews Open Now Cafe £
785. Restaurante Lepanto,Open Now,87 reviews,£,87 reviews Closed Now Spanish ££ - £££ Menu
786. Bar Amalur,Closed Now,3 reviews,Spanish,3 reviews
787. Izartegi Taberna,Open Now,12 reviews,"Sushi, Asian",12 reviews £
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
841. Tito's Bilbao Cocteleria Bar,Open Now,5 reviews,Spanish,5 reviews
842. Samy Cafe,Open Now,6 reviews,Spanish,6 reviews Spanish ££ - £££
843. Don Ulpiano,Open Now,7 reviews,Chinese,7 reviews Spanish ££ - £££
844. Wok,Open Now,12 reviews,£,12 reviews Chinese £
845. Txoko Gozo,Open Now,2 reviews,Pub,2 reviews
846. Terraza Bar,Open Now,4 reviews,Spanish,4 reviews Open Now
847. Bar Bruselas,Open Now,18 reviews,££ - £££,18 reviews £
848. Etxeko Tavern S.L.,Open Now,1 review,££ - £££,1 review Open Now Pub
849. Helados Capra - Tximeleta,Closed Now,20 reviews,"Mediterranean, Spanish",20 reviews Spanish ££ - £££
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
Txocook,Open Now,245 reviews,"Mediterranean, Spanish","245 reviews Open Now Mediterranean, Spanish ££ - £££ Menu"
Bar e Restaurante Baracho's,Open Now,4 reviews,"Spanish, Brazilian","4 reviews Open Now Spanish, Brazilian ££ - £££"
901. Lena al Fuego,Open Now,1 review,"American, Spanish","1 review American, Spanish ££ - £££"
902. Bar El Borriqiito,Open Now,1 review,Mexican,1 review
903. Santana 27,Open Now,4 reviews,"Chinese, Japanese",4 reviews Mexican
904. Restaurante Eider,Open Now,5 reviews,Spanish,5 reviews
905. Arepa Corrida,Open Now,6 reviews,"Pizza, Cafe",6 reviews
906. Gongfu Wok,Open Now,6 reviews,"Mediterranean, Barbecue","6 reviews Chinese, Japanese"
961. Hanami,Open Now,1 review,Japanese,1 review Open Now Japanese
962. Fin lane,Open Now,2 reviews,Seafood,2 reviews Seafood
963. la taberna del sur,Open Now,5 reviews,Spanish,5 reviews Spanish
964. Izen Barik,Closed today,124 reviews,"Mediterranean, Spanish","124 reviews Mediterranean, Spanish ££ - £££"
965. Irene Pujana Echezarraga,Open Now,2 reviews,Mediterranean,2 reviews
966. Nostrum,Open Now,11 reviews,Pizza,11 reviews Mediterranean £
967. Telepizza,Closed today,2 reviews,Chinese,2 reviews Pizza
968. Wok San Mames,Open Now,22 reviews,Spanish,22 reviews Chinese ££ - £££
969. A Comer y Punto,Open Now,57 reviews,Spanish,57 reviews Open Now Spanish £
991. Txio,Open Now,33 reviews,££ - £££,33 reviews ££ - £££
992. Asador Egurra,Open Now,113 reviews,"Steakhouse, Mediterranean","113 reviews Open Now Steakhouse, Mediterranean ££ - £££"
993. Ribs,Open Now,217 reviews,"American, Bar","217 reviews American, Bar ££ - £££"
994. Ferrobarril Bilbao,Open Now,1 review,Fast food,1 review Fast food
995. Restaurante Zugarramurdi,Open Now,13 reviews,Spanish,13 reviews Spanish ££ - £££
996. Goiko Grill,Open Now,181 reviews,American,181 reviews American ££ - £££
Txocook,Open Now,245 reviews,"Mediterranean, Spanish","245 reviews Open Now Mediterranean, Spanish ££ - £££ Menu"
931. Sol,Open Now,16 reviews,Bar,16 reviews Bar ££ - £££
932. Bar L16,Open Now,8 reviews,"Bar, Cafe","8 reviews Bar, Cafe £"
933. Asador El Puente - Habitaciones - Restaurante,Closes in 17 min,25 reviews,££ - £££,25 reviews ££ - £££
934. Cafe y Te,Open Now,5 reviews,"Italian, Pizza",5 reviews
935. La Mafia,Open Now,205 reviews,££ - £££,"205 reviews Open Now Italian, Pizza ££ - £££"
936. Restaurante Oncalada,Open Now,10 reviews,££ - £££,10 reviews ££ - £££
937. Bar Castanos,Open Now,2 reviews,££ - £££,2 reviews
938. bar cafe Olimpia,Open Now,8 reviews,Spanish,8 reviews ££ - £££
939. Bertiz Henao,Open Now,20 reviews,Spanish,20 reviews Open Now ££ - £££
Bar e Restaurante Baracho's,Open Now,4 reviews,"Spanish, Brazilian","4 reviews Open Now Spanish, Brazilian ££ - £££"
La Taberna de los Mundos SL.,Open Now,218 reviews,"Mediterranean, Spanish","218 reviews Open Now Mediterranean, Spanish ££ - £££ Menu"
La Taberna de los Mundos SL.,Open Now,218 reviews,"Mediterranean, Spanish","218 reviews Open Now Mediterranean, Spanish ££ - £££ Menu"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
Yamike!,Open Now,175 reviews,"Bar, Gastropub","175 reviews Open Now Bar, Gastropub ££ - £££"
1021. TGB,Open Now,7 reviews,Spanish,7 reviews
1022. Zuretzat,Open Now,93 reviews,Spanish,93 reviews Spanish £
1023. Basoa,Open Now,30 reviews,Spanish,30 reviews Spanish
1024. Batzoki Indautxu,Open Now,70 reviews,Spanish,70 reviews Open Now Spanish ££ - £££
1025. Goikar Elorrieta,Open Now,45 reviews,Seafood,45 reviews Open Now Spanish ££ - £££
1026. Marisqueria Bar Pedro,Open Now,10 reviews,Japanese,10 reviews Seafood ££ - £££
1027. Sushi Heros,Closed Now,3 reviews,"International, Deli",3 reviews Japanese
1028. AROA Botikazar Gastrotaska,Open Now,13 reviews,American,"13 reviews International, Deli £"
1029. Hollywood Bilbao,Open Now,10 reviews,"Fast food, Spanish",10 reviews Open Now American
1030. Krunch,Opens in 17 min,10 reviews,Spanish,"10 reviews Fast food, Spanish ££ - £££"
1. Bar Roma,Open Now,140 reviews,"Cafe, Mediterranean","140 reviews Open Now Cafe, Mediterranean ££ - £££"
2. Casa Leotta,Open Now,643 reviews,"Italian, Pizza","643 reviews Open Now Italian, Pizza ££ - £££"
3. Bikandi Etxea,Open Now,194 reviews,"Cafe, European","194 reviews Open Now Cafe, European ££ - £££"
4. Nebak Jatetxea,Open Now,129 reviews,"Mediterranean, Spanish","129 reviews Open Now Mediterranean, Spanish ££££ Menu"
5. NIDOBILBAO,Open Now,"2,151 reviews","European, Spanish","2,151 reviews Open Now European, Spanish ££££"
6. ad hoc Cascanueces,Open Now,880 reviews,"International, Mediterranean","880 reviews Open Now International, Mediterranean ££ - £££ Menu"
7. La Gavilla,Open Now,285 reviews,"Mediterranean, European","285 reviews Open Now Mediterranean, European ££££"
8. Restaurante AL Margen,Open Now,207 reviews,"International, Mediterranean","207 reviews Open Now International, Mediterranean ££ - £££"
9. Mole Tex Mex,Closed Now,213 reviews,"Mexican, Healthy","213 reviews Closed Now Mexican, Healthy £"
10. Il Giardino Della Nonna Trattoria,Open Now,425 reviews,"Italian, Pizza","425 reviews Open Now Italian, Pizza ££ - £££ Menu"
11. Arandia de Julen,Open Now,666 reviews,"Mediterranean, European","666 reviews Open Now Mediterranean, European ££ - £££"
12. Restaurante Trueba,Open Now,198 reviews,"Spanish, Soups","198 reviews Open Now Spanish, Soups ££ - £££ Menu"
